"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","88","307624","0.0-7.1-0.1-0.37","699","","j","","","","","","","","","","","","","key","j","16.66327272727292","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","89","307939","0.0-7.1-0.1-1.37","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","90","309735","0.0-7.1-0.1-0.38","605","","f","","","","","","","","","","","","","key","f","16.66130841121504","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","91","310041","0.0-7.1-0.1-1.38","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","92","312128","0.0-7.1-0.1-0.39","932","","j","","","","","","","","","","","","","key","j","16.66193548387063","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","93","312441","0.0-7.1-0.1-1.39","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","94","314226","0.0-7.1-0.1-0.40","627","","j","","","","","","","","","","","","","key","j","16.661698113207677","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","95","314536","0.0-7.1-0.1-1.40","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","96","316443","0.0-7.1-0.1-0.41","756","","f","","","","","","","","","","","","","key","f","16.66194690265528","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","97","316749","0.0-7.1-0.1-1.41","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","98","318826","0.0-7.1-0.1-0.42","919","","f","","","","","","","","","","","","","key","f","16.662764227641954","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","99","319136","0.0-7.1-0.1-1.42","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","100","320939","0.0-7.1-0.1-0.43","623","","j","","","","","","","","","","","","","key","j","16.65794392523332","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","101","321254","0.0-7.1-0.1-1.43","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","102","323071","0.0-7.1-0.1-0.44","663","","j","","","","","","","","","","","","","key","j","16.658518518518477","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","103","323423","0.0-7.1-0.1-1.44","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","104","325463","0.0-7.1-0.1-0.45","883","","j","","","","","","","","","","","","","key","j","16.659508196721006","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","105","325778","0.0-7.1-0.1-1.45","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","106","327655","0.0-7.1-0.1-0.46","722","","j","","","","","","","","","","","","","key","j","16.66270270270268","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","false","Practice"
"","","","","","html-keyboard-response","107","327967","0.0-7.1-0.1-1.46","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","108","329850","0.0-7.1-0.1-0.47","731","","f","","","","","","","","","","","","","key","f","16.662678571428323","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","109","330164","0.0-7.1-0.1-1.47","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","html-keyboard-response","110","331958","0.0-7.1-1.1-0.1","1793","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                        <div><p class='context'>您正确回答了83% 的试次。</p><p class='context'>您的平均反应时为693毫秒。</p><p> <div style = 'color: green'><按空格键至下页></div></p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","111","343482","0.0-7.1-1.1-1.1","11524","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1228},{""page_index"":1,""viewing_time"":2345},{""page_index"":2,""viewing_time"":7951}]","","","","","","","","","","","","",""
"","","","","","psychophysics","112","345551","0.0-7.2-0.2-0.48","907","","f","","","","","","","","","","","","","key","f","16.66178861788637","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","113","345857","0.0-7.2-0.2-1.48","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","114","347740","0.0-7.2-0.2-0.49","731","","j","","","","","","","","","","","","","key","j","16.661071428571763","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Word","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","115","348042","0.0-7.2-0.2-1.49","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","116","350058","0.0-7.2-0.2-0.50","864","","j","","","","","","","","","","","","","key","j","16.660833333333237","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","117","350365","0.0-7.2-0.2-1.50","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","118","352166","0.0-7.2-0.2-0.51","648","","j","","","","","","","","","","","","","key","j","16.66186915887857","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","119","352468","0.0-7.2-0.2-1.51","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","120","354389","0.0-7.2-0.2-0.52","664","","f","","","","","","","","","","","","","key","f","16.661929824561586","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","121","354741","0.0-7.2-0.2-1.52","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","122","356952","0.0-7.2-0.2-0.53","1058","","f","","","","","","","","","","","","","key","f","16.662121212121388","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","123","357259","0.0-7.2-0.2-1.53","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","124","359025","0.0-7.2-0.2-0.54","610","","f","","","","","","","","","","","","","key","f","16.659619047619135","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","125","359333","0.0-7.2-0.2-1.54","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","126","361191","0.0-7.2-0.2-0.55","704","","f","","","","","","","","","","","","","key","f","16.662000000000063","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","127","361499","0.0-7.2-0.2-1.55","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","128","363629","0.0-7.2-0.2-0.56","974","","j","","","","","","","","","","","","","key","j","16.663809523809174","768","428","./1_3_Stimuli/T_ambi40.png","自我","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","129","363935","0.0-7.2-0.2-1.56","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","130","366129","0.0-7.2-0.2-0.57","1042","","j","","","","","","","","","","","","","key","j","16.66184615384644","768","428","./1_3_Stimuli/S_ambi40.png","他人","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","131","366437","0.0-7.2-0.2-1.57","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","132","368366","0.0-7.2-0.2-0.58","775","","f","","","","","","","","","","","","","key","f","16.6622608695655","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","133","368678","0.0-7.2-0.2-1.58","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","134","370910","0.0-7.2-0.2-0.59","1048","","f","","","","","","","","","","","","","key","f","16.664210526315983","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","朋友","Mismatch","j","false","Practice"
"","","","","","html-keyboard-response","135","371216","0.0-7.2-0.2-1.59","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","136","373248","0.0-7.2-0.2-0.60","878","","j","","","","","","","","","","","","","key","j","16.662809917355467","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","137","373558","0.0-7.2-0.2-1.60","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","138","375777","0.0-7.2-0.2-0.61","1067","","j","","","","","","","","","","","","","key","j","16.66166666666686","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","f","false","Practice"
"","","","","","html-keyboard-response","139","376079","0.0-7.2-0.2-1.61","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","140","378014","0.0-7.2-0.2-0.62","781","","j","","","","","","","","","","","","","key","j","16.660347826086976","768","428","./1_3_Stimuli/T_ambi40.png","他人","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","141","378323","0.0-7.2-0.2-1.62","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","142","380406","0.0-7.2-0.2-0.63","923","","f","","","","","","","","","","","","","key","f","16.660967741935654","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","143","380716","0.0-7.2-0.2-1.63","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","144","382652","0.0-7.2-0.2-0.64","783","","j","","","","","","","","","","","","","key","j","16.66069565217375","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","145","382958","0.0-7.2-0.2-1.64","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","146","384917","0.0-7.2-0.2-0.65","802","","f","","","","","","","","","","","","","key","f","16.662241379310405","768","428","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","147","385221","0.0-7.2-0.2-1.65","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","148","387004","0.0-7.2-0.2-0.66","628","","j","","","","","","","","","","","","","key","j","16.661698113207677","768","428","./1_3_Stimuli/T_ambi40.png","自我","Image","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","149","387312","0.0-7.2-0.2-1.66","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","150","389327","0.0-7.2-0.2-0.67","863","","f","","","","","","","","","","","","","key","f","16.6636666666663","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","151","389632","0.0-7.2-0.2-1.67","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","152","391610","0.0-7.2-0.2-0.68","821","","j","","","","","","","","","","","","","key","j","16.661525423728794","768","428","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","153","391943","0.0-7.2-0.2-1.68","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","154","393911","0.0-7.2-0.2-0.69","817","","j","","","","","","","","","","","","","key","j","16.66119658119646","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","155","394243","0.0-7.2-0.2-1.69","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","156","396218","0.0-7.2-0.2-0.70","821","","f","","","","","","","","","","","","","key","f","16.65965811965806","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","157","396533","0.0-7.2-0.2-1.70","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","158","398504","0.0-7.2-0.2-0.71","819","","j","","","","","","","","","","","","","key","j","16.661525423728794","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","159","398808","0.0-7.2-0.2-1.71","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","html-keyboard-response","160","418676","0.0-8.0","19867","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                          <div><p class='context'>您正确回答了88% 的试次。</p><p class='context'>您的平均反应时为811毫秒。</p><p class='context'>恭喜您完成练习。现在请休息3~5分钟。</p><p class='context'>之后，按任意键进入正式实验。需要注意的是，正式实验将不再提供反应是否正确的反馈。</p><p class='footer' style='font-size: 35px; line-height:40px;'>请在进入正式实验实验之前将您的<span style='color: lightgreen;'>食指</span>放在电脑键盘的相应键位上进行按键。</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","161","420833","0.0-9.0-0.0-0.0","999","","f","","","","","","","","","","","","","key","f","16.66403100775219","768","428","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Formal"
"","","","","","psychophysics","162","423197","0.0-9.0-0.0-0.1","1103","","j","","","","","","","","","","","","","key","j","16.661560283687727","768","428","./1_3_Stimuli/T_ambi40.png","他人","Word","朋友","Mismatch","j","true","Formal"
"","","","","","psychophysics","163","425092","0.0-9.0-0.0-0.2","741","","f","","","","","","","","","","","","","key","f","16.66357142857149","768","428","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Formal"
