"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","9962","0.0-1.0","9958","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","11247","0.0-2.0-0.0","1285","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","11248","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","21171","0.0-2.0-2.0","9920","","{""Q0"":""1007""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","22279","0.0-2.0-3.0","1108","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","31601","0.0-2.0-4.0","9319","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","40565","0.0-2.0-5.0","8964","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","189958","0.0-3.0","149393","","","","85.6","53.98","320.4403051968179","3.7397268559440393","764.48","6.4088061039363575","50","1.3263000724548692","30.72","14.06","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","203108","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
