"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","697","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","5886","0.0-1.0","5188","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","7194","0.0-2.0-0.0","1308","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","enter","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","7195","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","21956","0.0-2.0-2.0","14756","","{""Q0"":""1011""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","23236","0.0-2.0-3.0","1280","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","28770","0.0-2.0-4.0","5533","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","34045","0.0-2.0-5.0","5274","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","158791","0.0-3.0","124745","","","","85.6","53.98","383.0015772887724","4.478647476360645","639.32","7.660031545775448","50","0.9712753734158188","29.76","15.1","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","171835","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","274370","0.0-5.0","102533","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24390},{""page_index"":1,""viewing_time"":52194},{""page_index"":2,""viewing_time"":13743},{""page_index"":3,""viewing_time"":2403},{""page_index"":2,""viewing_time"":7720},{""page_index"":3,""viewing_time"":2083}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","278022","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","280732","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.666236024844512","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","false","Practice"
"","","","","","html-keyboard-response","13","281041","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","283122","0.0-7.0-0.0-0.1","930","","f","","","","","","","","","","","","","key","f","16.666154471544523","768","428","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","15","283433","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","285481","0.0-7.0-0.0-0.2","890","","f","","","","","","","","","","","","","key","f","16.666475409836046","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","false","Practice"
"","","","","","html-keyboard-response","17","285788","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","287697","0.0-7.0-0.0-0.3","756","","j","","","","","","","","","","","","","key","j","16.664929824561113","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","true","Practice"
"","","","","","html-keyboard-response","19","287998","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","289649","0.0-7.0-0.0-0.4","493","","j","","","","","","","","","","","","","key","j","16.66790909090931","768","428","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","true","Practice"
"","","","","","html-keyboard-response","21","289961","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","22","291853","0.0-7.0-0.0-0.5","736","","j","","","","","","","","","","","","","key","j","16.666758928571134","768","428","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","23","292165","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","24","294053","0.0-7.0-0.0-0.6","733","","f","","","","","","","","","","","","","key","f","16.66647321428536","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","false","Practice"
"","","","","","html-keyboard-response","25","294368","0.0-7.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","26","296653","0.0-7.0-0.0-0.7","1130","","j","","","","","","","","","","","","","key","j","16.666051470588545","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","27","296961","0.0-7.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","28","299405","0.0-7.0-0.0-0.8","1286","","j","","","","","","","","","","","","","key","j","16.665331034482747","768","428","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Practice"
"","","","","","html-keyboard-response","29","299710","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","30","301858","0.0-7.0-0.0-0.9","991","","f","","","","","","","","","","","","","key","f","16.666249999999764","768","428","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","31","302166","0.0-7.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","32","304506","0.0-7.0-0.0-0.10","1182","","f","","","","","","","","","","","","","key","f","16.666424460431877","768","428","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","33","304813","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","34","307065","0.0-7.0-0.0-0.11","1098","","j","","","","","","","","","","","","","key","j","16.66685074626871","768","428","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","35","307372","0.0-7.0-0.0-1.11","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","36","309720","0.0-7.0-0.0-0.12","1197","","f","","","","","","","","","","","","","key","f","16.657503597122172","768","428","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","37","310027","0.0-7.0-0.0-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
