success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,view_history,response_type,key_press,avg_frame_time,center_x,center_y,image,word,target,valence,matchness,correct_response,correct,exp_condition,result
,,,,,psychophysics,739,1793328,0.0-8.0-0.4-0.571,665,,f,,,,,,,,,,,,,key,f,16.64999065,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,朋友,Image,朋友,Match,f,TRUE,Formal,
,,,,,psychophysics,740,1795422,0.0-8.0-0.4-0.572,939,,j,,,,,,,,,,,,,key,j,16.65033065,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,他人,Image,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,741,1797428,0.0-8.0-0.4-0.573,848,,j,,,,,,,,,,,,,key,j,16.65035833,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Word,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,742,1799436,0.0-8.0-0.4-0.574,845,,j,,,,,,,,,,,,,key,j,16.65052941,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,自我,Image,他人,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,743,1801542,0.0-8.0-0.4-0.575,955,,j,,,,,,,,,,,,,key,j,16.783424,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,744,1803440,0.0-8.0-0.4-0.576,741,,j,,,,,,,,,,,,,key,j,16.65047788,650.9524105,361.9047783,3_Stimuli/S_ambi40.png,自我,Image,朋友,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,745,1805271,0.0-8.0-0.4-0.577,672,,j,,,,,,,,,,,,,key,j,16.65074312,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Image,自我,Match,f,FALSE,Formal,
,,,,,psychophysics,746,1806926,0.0-8.0-0.4-0.578,494,,f,,,,,,,,,,,,,key,f,16.65038776,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,自我,Word,自我,Match,f,TRUE,Formal,
,,,,,psychophysics,747,1808778,0.0-8.0-0.4-0.579,697,,j,,,,,,,,,,,,,key,j,16.65123636,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Word,他人,Match,f,FALSE,Formal,
,,,,,psychophysics,748,1811400,0.0-8.0-0.4-0.580,1468,,f,,,,,,,,,,,,,key,f,16.64896154,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,朋友,Image,他人,Mismatch,j,FALSE,Formal,
,,,,,psychophysics,749,1813133,0.0-8.0-0.4-0.581,577,,f,,,,,,,,,,,,,key,f,16.65115534,650.9524105,361.9047783,3_Stimuli/T_ambi40.png,他人,Image,他人,Match,f,TRUE,Formal,
,,,,,psychophysics,750,1815087,0.0-8.0-0.4-0.582,794,,j,,,,,,,,,,,,,key,j,16.65042241,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,朋友,Image,自我,Mismatch,j,TRUE,Formal,
,,,,,psychophysics,751,1816925,0.0-8.0-0.4-0.583,685,,f,,,,,,,,,,,,,key,f,16.65063636,650.9524105,361.9047783,3_Stimuli/C_ambi40.png,他人,Image,自我,Mismatch,j,FALSE,Formal,
