"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","372","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","68673","0.0-1.0","68297","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","k","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","71008","0.0-2.0-0.0","2335","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","j","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","71010","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","91130","0.0-2.0-2.0","20117","","{""Q0"":""1001""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","92574","0.0-2.0-3.0","1442","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","98967","0.0-2.0-4.0","6391","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","103032","0.0-2.0-5.0","4063","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","497003","0.0-3.0","393940","","","","85.6","53.98","468.6793420088218","5.472015354343835","522.06","9.373586840176435","50","0.8150561924976197","25.6","16","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","501064","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","653010","0.0-5.0","151937","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":33543},{""page_index"":1,""viewing_time"":93158},{""page_index"":2,""viewing_time"":15818},{""page_index"":3,""viewing_time"":9418}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","656662","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","659381","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.674000000000515","640","396","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","13","659688","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","661634","0.0-7.0-0.0-0.1","791","","j","","","","","","","","","","","","","key","j","16.67400000000008","640","396","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","15","661939","0.0-7.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","664172","0.0-7.0-0.0-0.2","1081","","j","","","","","","","","","","","","","key","j","16.67399999999995","640","396","./1_3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","17","664474","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","666438","0.0-7.0-0.0-0.3","812","","j","","","","","","","","","","","","","key","j","16.743198275862156","640","396","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","19","666743","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","668627","0.0-7.0-0.0-0.4","732","","f","","","","","","","","","","","","","key","f","16.67400000000011","640","396","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","21","668932","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","22","670793","0.0-7.0-0.0-0.5","708","","j","","","","","","","","","","","","","key","j","16.674000000000127","640","396","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","23","671095","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","24","672767","0.0-7.0-0.0-0.6","518","","j","","","","","","","","","","","","","key","j","16.674000000000245","640","396","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","25","673074","0.0-7.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","26","674634","0.0-7.0-0.0-0.7","407","","j","","","","","","","","","","","","","key","j","16.674000000000333","640","396","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","27","674937","0.0-7.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","28","677247","0.0-7.0-0.0-0.8","1159","","j","","","","","","","","","","","","","key","j","16.67637226277415","640","396","./1_3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","29","677553","0.0-7.0-0.0-1.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","30","680259","0.0-7.0-0.0-0.9","null","","null","","","","","","","","","","","","","key","null","16.673999999999793","640","396","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","false","Practice"
"","","","","","html-keyboard-response","31","680561","0.0-7.0-0.0-1.9","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","32","682380","0.0-7.0-0.0-0.10","667","","f","","","","","","","","","","","","","key","f","16.674000000000145","640","396","./1_3_Stimuli/S_ambi40.png","自我","Word","朋友","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","33","682682","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","34","684896","0.0-7.0-0.0-0.11","1061","","f","","","","","","","","","","","","","key","f","16.673999999999957","640","396","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","35","685199","0.0-7.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","36","687904","0.0-7.0-0.0-0.12","null","","null","","","","","","","","","","","","","key","null","16.67663354037318","640","396","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","false","Practice"
"","","","","","html-keyboard-response","37","688208","0.0-7.0-0.0-1.12","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
