"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","8","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","16380","0.0-1.0","16370","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","17164","0.0-2.0-0.0","782","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","arrowright","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","17166","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","21162","0.0-2.0-2.0","3991","","{""Q0"":""1010""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","23056","0.0-2.0-3.0","1892","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","30702","0.0-2.0-4.0","7645","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","33390","0.0-2.0-5.0","2687","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","137582","0.0-3.0","104188","","","","85.6","53.98","473.9026631213744","5.537178484891849","516.28","9.478053262427489","50","0.8018524257642241","25.6","16","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","141627","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","246605","0.0-5.0","104974","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20147},{""page_index"":1,""viewing_time"":40682},{""page_index"":2,""viewing_time"":18925},{""page_index"":3,""viewing_time"":4576},{""page_index"":2,""viewing_time"":19069},{""page_index"":3,""viewing_time"":1576}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","250260","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","252969","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.668633540372635","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","false","Practice"
"","","","","","html-keyboard-response","13","253285","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","254874","0.0-7.0-0.0-0.1","423","","f","","","","","","","","","","","","","key","f","16.6682978723405","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","15","255180","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","257324","0.0-7.0-0.0-0.2","986","","j","","","","","","","","","","","","","key","j","16.667968503937196","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","f","false","Practice"
"","","","","","html-keyboard-response","17","257638","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","259538","0.0-7.0-0.0-0.3","748","","f","","","","","","","","","","","","","key","f","16.668080357142962","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","f","true","Practice"
"","","","","","html-keyboard-response","19","259843","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","261759","0.0-7.0-0.0-0.4","764","","j","","","","","","","","","","","","","key","j","16.668681415929345","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","21","262065","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","22","263844","0.0-7.0-0.0-0.5","626","","f","","","","","","","","","","","","","key","f","16.66895238095229","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","23","264153","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","24","266015","0.0-7.0-0.0-0.6","702","","j","","","","","","","","","","","","","key","j","16.66806306306279","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","朋友","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","25","266331","0.0-7.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","26","268417","0.0-7.0-0.0-0.7","934","","j","","","","","","","","","","","","","key","j","16.668459677419555","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","27","268733","0.0-7.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","28","270567","0.0-7.0-0.0-0.8","682","","f","","","","","","","","","","","","","key","f","16.669403669725007","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","自我","Word","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","29","270876","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","30","272577","0.0-7.0-0.0-0.9","550","","j","","","","","","","","","","","","","key","j","16.667821782178333","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","f","false","Practice"
"","","","","","html-keyboard-response","31","272880","0.0-7.0-0.0-1.9","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","32","274898","0.0-7.0-0.0-0.10","865","","f","","","","","","","","","","","","","key","f","16.667966386554724","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","自我","Image","自我","Match","f","true","Practice"
"","","","","","html-keyboard-response","33","275204","0.0-7.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","34","277435","0.0-7.0-0.0-0.11","1079","","j","","","","","","","","","","","","","key","j","16.667270676691533","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","朋友","Image","自我","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","35","277738","0.0-7.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","36","279717","0.0-7.0-0.0-0.12","824","","f","","","","","","","","","","","","","key","f","16.668161016949096","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","他人","Image","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","37","280031","0.0-7.0-0.0-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","38","282149","0.0-7.0-0.0-0.13","965","","j","","","","","","","","","","","","","key","j","16.668047619047613","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","自我","Word","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","39","282463","0.0-7.0-0.0-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","40","284969","0.0-7.0-0.0-0.14","1351","","f","","","","","","","","","","","","","key","f","16.666006711409302","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","41","285276","0.0-7.0-0.0-1.14","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","42","287172","0.0-7.0-0.0-0.15","738","","j","","","","","","","","","","","","","key","j","16.668026785713923","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","自我","Image","他人","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","43","287487","0.0-7.0-0.0-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","44","289349","0.0-7.0-0.0-0.16","709","","j","","","","","","","","","","","","","key","j","16.657763636363565","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","45","289660","0.0-7.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","46","291660","0.0-7.0-0.0-0.17","847","","j","","","","","","","","","","","","","key","j","16.668398305084615","710.8333521639864","440.27778944115613","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","j","true","Practice"
"","","","","","html-keyboard-response","47","291970","0.0-7.0-0.0-1.17","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","48","293840","0.0-7.0-0.0-0.18","718","","f","","","","","","","","","","","","","key","f","16.66829464285703","710.8333521639864","440.27778944115613","./1_3_Stimuli/T_ambi40.png","他人","Word","他人","Match","f","true","Practice"
"","","","","","html-keyboard-response","49","294155","0.0-7.0-0.0-1.18","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","50","296319","0.0-7.0-0.0-0.19","1008","","j","","","","","","","","","","","","","key","j","16.66821875000005","710.8333521639864","440.27778944115613","./1_3_Stimuli/S_ambi40.png","他人","Image","自我","Mismatch","j","true","Practice"
