"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","389","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","32888","0.0-1.0","32498","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","34402","0.0-2.0-0.0","1513","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      "," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","34402","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","54513","0.0-2.0-2.0","20109","","{""Q0"":""1003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55911","0.0-2.0-3.0","1397","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","67059","0.0-2.0-4.0","11147","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","81249","0.0-2.0-5.0","14190","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","254880","0.0-3.0","173630","","","","85.6","53.98","428.4266737710922","5.005277481374468","571.32","8.568533475421845","50","0.9569899007246744","28.64","15.72","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","264289","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","319248","0.0-5.0","54958","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":21522},{""page_index"":1,""viewing_time"":17663},{""page_index"":2,""viewing_time"":12166},{""page_index"":3,""viewing_time"":3608}]","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","322901","0.0-6.0","null","<count-down title=""""></count-down>","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","12","325618","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.66431481481485","720","446","3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","false","Practice"
"","","","","","html-keyboard-response","13","325932","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","14","328634","0.0-7.0-0.0-0.1","null","","null","","","","","","","","","","","","","key","null","16.664167701863246","720","446","3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","false","Practice"
"","","","","","html-keyboard-response","15","328949","0.0-7.0-0.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","16","330909","0.0-7.0-0.0-0.2","808","","j","","","","","","","","","","","","","key","j","16.664301724138003","720","446","3_Stimuli/T_ambi40.png","朋友","Word","朋友","Match","j","true","Practice"
"","","","","","html-keyboard-response","17","331212","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","18","333258","0.0-7.0-0.0-0.3","894","","f","","","","","","","","","","","","","key","f","16.6640163934427","720","446","3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","false","Practice"
"","","","","","html-keyboard-response","19","333560","0.0-7.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","20","335708","0.0-7.0-0.0-0.4","995","","j","","","","","","","","","","","","","key","j","16.664531249999982","720","446","3_Stimuli/C_ambi40.png","自我","Image","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","21","336010","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
